seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	46397809	46397851	43	*	X02201	100616368	46397952	46398034	83	+	100	upstream	100	MIR4688
chr11	47200597	47200716	120	*	X02225	84364	47185849	47198676	12828	-	1920	upstream	1920	ARFGAP2
chr11	62360766	62360915	150	*	X02324	64852	62342517	62359109	16593	-	1656	upstream	1656	TUT1
chr11	62360919	62361023	105	*	X02325	64852	62342517	62359109	16593	-	1809	upstream	1809	TUT1
chr11	62560950	62560994	45	*	X02345	79064	62557787	62559486	1700	-	1463	upstream	1463	TMEM223
chr11	63973196	63973315	120	*	X02371	83706	63974152	63991363	17212	+	836	upstream	836	FERMT3
chr11	64886338	64886442	105	*	X02429	741	64883875	64885170	1296	-	1167	upstream	1167	ZNHIT2
chr11	64887703	64887807	105	*	X02430	740	64889655	64894841	5187	+	1847	upstream	1847	MRPL49
chr11	64979482	64979601	120	*	X02455	440044	64981311	65010228	28918	+	1709	upstream	1709	SLC22A20P
chr11	65404139	65404258	120	*	X02504	6494	65405578	65418391	12814	+	1319	upstream	1319	SIPA1
chr11	66034409	66034498	90	*	X02562	81876	66036056	66044963	8908	+	1557	upstream	1557	RAB1B
chr11	66043889	66044068	180	*	X02566	254263	66045672	66051685	6014	+	1603	upstream	1603	CNIH2
chr11	66105714	66105725	12	*	X02572	9610	66099542	66104311	4770	-	1402	upstream	1402	RIN1
chr11	66404921	66404965	45	*	X02592	5936	66406088	66435858	29771	+	1122	upstream	1122	RBM4
chr11	67205163	67205237	75	*	X02656	5790	67202981	67205153	2173	-	9	upstream	9	PTPRCAP
chr11	67205744	67205851	108	*	X02657	5790	67202981	67205153	2173	-	590	upstream	590	PTPRCAP
chr11	67205958	67206047	90	*	X02658	5790	67202981	67205153	2173	-	804	upstream	804	PTPRCAP
chr11	67274465	67274579	115	*	X02667	9600	67259239	67272843	13605	-	1621	upstream	1621	PITPNM1
chr11	67800463	67800582	120	*	X02675	100616403	67801364	67801448	85	+	781	upstream	781	MIR4691
chr11	67800673	67800792	120	*	X02676	100616403	67801364	67801448	85	+	571	upstream	571	MIR4691
chr11	70129930	70129956	27	*	X02743	100313770	70130061	70130176	116	+	104	upstream	104	MIR548K
chr11	75047381	75047401	21	*	X02866	442900	75046136	75046230	95	-	1150	upstream	1150	MIR326
chr11	117957625	117957679	55	*	X02927	100526771	117886487	117957508	71022	-	116	upstream	116	SMIM35
chr11	118780042	118780099	58	*	X02949	100616376	118781417	118781496	80	+	1317	upstream	1317	MIR4492
chr11	118780310	118780429	120	*	X02950	100616376	118781417	118781496	80	+	987	upstream	987	MIR4492
chr11	118780748	118780875	128	*	X02951	100616376	118781417	118781496	80	+	541	upstream	541	MIR4492
chr11	118887256	118887390	135	*	X02956	51399	118889241	118894385	5145	+	1850	upstream	1850	TRAPPC4
chr12	6641537	6641656	120	*	X03030	2597	6643585	6647537	3953	+	1928	upstream	1928	GAPDH
chr12	6692326	6692415	90	*	X03034	677780	6690639	6690775	137	-	1550	upstream	1550	SCARNA11
chr12	6879649	6879739	91	*	X03050	3902	6881670	6887621	5952	+	1930	upstream	1930	LAG3
chr12	6879818	6879911	94	*	X03051	3902	6881670	6887621	5952	+	1758	upstream	1758	LAG3
chr12	6975556	6975673	118	*	X03057	7167	6976584	6980110	3527	+	910	upstream	910	TPI1
chr12	7050256	7050344	89	*	X03064	113246	7052141	7055165	3025	+	1796	upstream	1796	C12orf57
chr12	7072998	7073025	28	*	X03065	406933	7073260	7073354	95	+	234	upstream	234	MIR141
chr12	7077195	7077299	105	*	X03067	677777	7076500	7076769	270	-	425	upstream	425	SCARNA12
chr12	49165903	49166037	135	*	X03153	100616262	49165758	49165820	63	-	82	upstream	82	MIR4701
chr12	49167449	49167568	120	*	X03154	100616262	49165758	49165820	63	-	1628	upstream	1628	MIR4701
chr12	53343978	53344033	56	*	X03253	3856	53290971	53343650	52680	-	327	upstream	327	KRT8
chr12	53905882	53906031	150	*	X03292	100652999	53907768	53911392	3625	+	1736	upstream	1736	LOC100652999
chr12	53907187	53907291	105	*	X03293	100652999	53907768	53911392	3625	+	476	upstream	476	LOC100652999
chr12	56510777	56510881	105	*	X03338	84872	56512030	56516278	4249	+	1148	upstream	1148	ZC3H10
chr12	56552283	56552486	204	*	X03343	4637	56552045	56555366	3322	+	0	inside	237	MYL6
chr12	58219622	58219741	120	*	X03418	407016	58218392	58218475	84	-	1146	upstream	1146	MIR26A2
chr12	100566966	100567011	46	*	X03508	55592	100550175	100567121	16947	-	0	inside	109	GOLGA2P5
chr12	104697439	104697484	46	*	X03532	493861	104697510	104698982	1473	+	25	upstream	25	EID3
chr12	120153346	120153465	120	*	X03660	100302274	120151439	120151529	91	-	1816	upstream	1816	MIR1178
chr12	120594421	120594510	90	*	X03686	100616179	120593238	120593303	66	-	1117	upstream	1117	MIR4498
chr12	125398505	125398669	165	*	X03845	100847004	125400093	125400205	113	+	1423	upstream	1423	MIR5188
chr12	125398760	125399029	270	*	X03846	100847004	125400093	125400205	113	+	1063	upstream	1063	MIR5188
chr13	45914996	45915135	140	*	X04063	100190939	45915480	45965618	50139	+	344	upstream	344	TPT1-AS1
chr13	45914996	45915135	140	*	X04063	7178	45911304	45915297	3994	-	0	inside	161	TPT1
chr14	21854060	21854124	65	*	X04148	11198	21819631	21852425	32795	-	1634	upstream	1634	SUPT16H
chr14	23305318	23305481	164	*	X04154	4323	23305793	23316803	11011	+	311	upstream	311	MMP14
chr14	23528137	23528241	105	*	X04161	64403	23516270	23526747	10478	-	1389	upstream	1389	CDH24
chr14	24629242	24629386	145	*	X04198	10379	24629729	24635774	6046	+	342	upstream	342	IRF9
chr14	24779086	24779220	135	*	X04217	1241	24780705	24787242	6538	+	1484	upstream	1484	LTB4R
chr14	24779086	24779220	135	*	X04217	56413	24779357	24781259	1903	+	136	upstream	136	LTB4R2
chr14	24780871	24781005	135	*	X04218	1241	24780705	24787242	6538	+	0	inside	165	LTB4R
chr14	24780871	24781005	135	*	X04218	27141	24774393	24780576	6184	-	294	upstream	294	CIDEB
chr14	74224216	74224335	120	*	X04452	100616158	74225450	74225522	73	+	1114	upstream	1114	MIR4505
chr14	77890247	77890366	120	*	X04499	122945	77860365	77889399	29035	-	847	upstream	847	NOXRED1
chr14	105937754	105937820	67	*	X04775	1397	105939275	105946507	7233	+	1454	upstream	1454	CRIP2
chr15	44092561	44092657	97	*	X04857	619189	44086372	44092295	5924	-	265	upstream	265	SERINC4
chr15	44092561	44092657	97	*	X04857	80237	44064798	44091335	26538	-	1225	upstream	1225	ELL3
chr15	69099812	69099950	139	*	X05060	80035	69096160	69099440	3281	-	371	upstream	371	ANP32A-IT1
chr15	69101226	69101353	128	*	X05061	80035	69096160	69099440	3281	-	1785	upstream	1785	ANP32A-IT1
chr15	70371700	70371728	29	*	X05076	693214	70371711	70371807	97	-	0	overlapEnd	78	MIR629
chr15	70371773	70371819	47	*	X05077	693214	70371711	70371807	97	-	0	overlapStart	0	MIR629
chr15	72491921	72492055	135	*	X05089	196996	72452147	72490136	37990	-	1784	upstream	1784	GRAMD2A
chr15	90775392	90775511	120	*	X05273	390637	90777487	90785312	7826	+	1975	upstream	1975	GDPGP1
chr15	91508617	91508653	37	*	X05292	100507118	91509599	91531854	22256	+	945	upstream	945	PRC1-AS1
chr15	96874710	96874844	135	*	X05304	100302258	96876490	96876536	47	+	1645	upstream	1645	MIR1469
chr15	96874905	96875069	165	*	X05305	100302258	96876490	96876536	47	+	1420	upstream	1420	MIR1469
chr15	96875160	96875236	77	*	X05306	100302258	96876490	96876536	47	+	1253	upstream	1253	MIR1469
chr15	99326274	99326339	66	*	X05330	100616432	99327655	99327731	77	+	1315	upstream	1315	MIR4714
chr16	839960	840079	120	*	X05409	113000	834974	838383	3410	-	1576	upstream	1576	RPUSD1
chr16	2013526	2013645	120	*	X05451	574042	2012335	2012467	133	-	1058	upstream	1058	SNORA10
chr16	2013526	2013645	120	*	X05451	26784	2012974	2013107	134	-	418	upstream	418	SNORA64
chr16	2013526	2013645	120	*	X05451	735301	2014997	2015505	509	+	1351	upstream	1351	SNHG9
chr16	2013526	2013645	120	*	X05451	677844	2015185	2015311	127	+	1539	upstream	1539	SNORA78
chr16	2285140	2285244	105	*	X05480	1775	2286424	2288712	2289	+	1179	upstream	1179	DNASE1L2
chr16	3072084	3072203	120	*	X05517	79228	3074032	3077756	3725	+	1828	upstream	1828	THOC6
chr16	3072600	3072719	120	*	X05518	79228	3074032	3077756	3725	+	1312	upstream	1312	THOC6
chr16	3072894	3072998	105	*	X05519	79228	3074032	3077756	3725	+	1033	upstream	1033	THOC6
chr16	3082609	3082698	90	*	X05522	100128770	3082482	3089133	6652	+	0	inside	126	LOC100128770
chr16	3166533	3166559	27	*	X05523	81854	3160461	3165599	5139	-	933	upstream	933	ZNF205-AS1
chr16	4854329	4854380	52	*	X05596	79641	4846963	4852951	5989	-	1377	upstream	1377	ROGDI
chr16	29822229	29822359	131	*	X05866	112476	29823409	29827202	3794	+	1049	upstream	1049	PRRT2
chr16	30109429	30109563	135	*	X05896	83719	30103635	30107537	3903	-	1891	upstream	1891	YPEL3
chr16	30125629	30125733	105	*	X05904	79153	30116131	30124878	8748	-	750	upstream	750	GDPD3
chr16	30125945	30125958	14	*	X05905	79153	30116131	30124878	8748	-	1066	upstream	1066	GDPD3
chr16	30748427	30748546	120	*	X05931	100862671	30748370	30756517	8148	+	0	inside	56	TMEM265
chr16	30958370	30958436	67	*	X05946	93129	30960405	30966259	5855	+	1968	upstream	1968	ORAI3
chr16	30959097	30959187	91	*	X05947	93129	30960405	30966259	5855	+	1217	upstream	1217	ORAI3
chr16	30959368	30959472	105	*	X05948	93129	30960405	30966259	5855	+	932	upstream	932	ORAI3
chr16	30995113	30995172	60	*	X05956	80270	30996519	31000473	3955	+	1346	upstream	1346	HSD3B7
chr16	30995291	30995470	180	*	X05957	80270	30996519	31000473	3955	+	1048	upstream	1048	HSD3B7
chr16	67231836	67231910	75	*	X06044	79767	67233028	67237927	4900	+	1117	upstream	1117	ELMO3
chr16	67232013	67232132	120	*	X06045	79767	67233028	67237927	4900	+	895	upstream	895	ELMO3
chr16	67236422	67236556	135	*	X06050	442901	67236224	67236298	75	-	123	upstream	123	MIR328
chr16	67979130	67979219	90	*	X06092	3931	67973787	67978015	4229	-	1114	upstream	1114	LCAT
chr16	69965562	69965577	16	*	X06153	406932	69966984	69967083	100	+	1406	upstream	1406	MIR140
chr16	87525088	87525342	255	*	X06426	23174	87439852	87525460	85609	-	0	inside	117	ZCCHC14
chr16	88719328	88719492	165	*	X06472	1535	88709697	88717492	7796	-	1835	upstream	1835	CYBA
chr16	89752502	89752573	72	*	X06586	8558	89753076	89762772	9697	+	502	upstream	502	CDK10
chr16	89784714	89784848	135	*	X06592	92822	89786808	89807332	20525	+	1959	upstream	1959	ZNF276
chr17	7127209	7127298	90	*	X06822	442898	7126616	7126698	83	-	510	upstream	510	MIR324
chr17	7127374	7127508	135	*	X06823	442898	7126616	7126698	83	-	675	upstream	675	MIR324
chr17	7128177	7128266	90	*	X06824	442898	7126616	7126698	83	-	1478	upstream	1478	MIR324
chr17	7138189	7138323	135	*	X06829	1856	7128661	7137863	9203	-	325	upstream	325	DVL2
chr17	7147473	7147484	12	*	X06832	11337	7143738	7145753	2016	-	1719	upstream	1719	GABARAP
chr17	7476584	7476703	120	*	X06859	652965	7478031	7478165	135	+	1327	upstream	1327	SNORA48
chr17	7476854	7477018	165	*	X06860	652965	7478031	7478165	135	+	1012	upstream	1012	SNORA48
chr17	7493445	7493485	41	*	X06863	6665	7491498	7493488	1991	-	0	inside	2	SOX15
chr17	8280040	8280062	23	*	X06911	124751	8271973	8280029	8057	-	10	upstream	10	KRBA2
chr17	8281758	8281805	48	*	X06912	124751	8271973	8280029	8057	-	1728	upstream	1728	KRBA2
chr17	17717114	17717218	105	*	X06993	693120	17717150	17717245	96	-	0	overlapEnd	26	MIR33B
chr17	17717446	17717565	120	*	X06994	693120	17717150	17717245	96	-	200	upstream	200	MIR33B
chr17	17718539	17718823	285	*	X06995	693120	17717150	17717245	96	-	1293	upstream	1293	MIR33B
chr17	26940909	26941028	120	*	X07064	124923	26907027	26941211	34185	-	0	inside	182	RSKR
chr17	26941914	26942048	135	*	X07065	124923	26907027	26941211	34185	-	702	upstream	702	RSKR
chr17	26942835	26942939	105	*	X07066	124923	26907027	26941211	34185	-	1623	upstream	1623	RSKR
chr17	27050498	27050632	135	*	X07077	26809	27050447	27050509	63	+	0	overlapEnd	50	SNORD42A
chr17	27050498	27050632	135	*	X07077	26772	27050699	27050772	74	+	66	upstream	66	SNORD4B
chr17	27187934	27188001	68	*	X07089	100616273	27188389	27188456	68	+	387	upstream	387	MIR451B
chr17	40731415	40731471	57	*	X07213	29893	40724328	40729849	5522	-	1565	upstream	1565	PSMC3IP
chr17	40995076	40995105	30	*	X07231	314	40996609	41002724	6116	+	1503	upstream	1503	AOC2
chr17	54968938	54968941	4	*	X07436	100500827	54968631	54968716	86	-	221	upstream	221	MIR3614
chr17	54968837	54968843	7	*	X07437	100500827	54968631	54968716	86	-	120	upstream	120	MIR3614
chr17	62501852	62501986	135	*	X07589	90799	62503158	62534062	30905	+	1171	upstream	1171	CEP95
chr17	62502047	62502061	15	*	X07590	90799	62503158	62534062	30905	+	1096	upstream	1096	CEP95
chr17	62779955	62780044	90	*	X07594	146880	62745780	62778117	32338	-	1837	upstream	1837	ARHGAP27P1
chr17	72207858	72208052	195	*	X07667	94015	72209696	72258157	48462	+	1643	upstream	1643	TTYH2
chr17	73520772	73520891	120	*	X07719	3993	73521783	73571290	49508	+	891	upstream	891	LLGL2
chr17	73842769	73842903	135	*	X07785	201294	73823308	73840851	17544	-	1917	upstream	1917	UNC13D
chr17	73894989	73895108	120	*	X07788	201292	73885041	73893084	8044	-	1904	upstream	1904	TRIM65
chr18	47809780	47809869	90	*	X08183	4152	47793252	47808144	14893	-	1635	upstream	1635	MBD1
chr19	812456	812473	18	*	X08229	100422854	813584	813653	70	+	1110	upstream	1110	MIR3187
chr19	1271583	1271777	195	*	X08265	148046	1267470	1270259	2790	-	1323	upstream	1323	CIRBP-AS1
chr19	4931148	4931204	57	*	X08375	100616337	4932699	4932752	54	+	1494	upstream	1494	MIR4747
chr19	10218227	10218346	120	*	X08442	692229	10218327	10218411	85	+	0	overlapStart	0	SNORD105
chr19	10218587	10218751	165	*	X08443	100113382	10220425	10220516	92	+	1673	upstream	1673	SNORD105B
chr19	10219162	10219281	120	*	X08444	100113382	10220425	10220516	92	+	1143	upstream	1143	SNORD105B
chr19	10221067	10221186	120	*	X08445	5032	10222197	10226064	3868	+	1010	upstream	1010	P2RY11
chr19	10221307	10221426	120	*	X08446	5032	10222197	10226064	3868	+	770	upstream	770	P2RY11
chr19	10222447	10222501	55	*	X08447	5032	10222197	10226064	3868	+	0	inside	249	P2RY11
chr19	10426928	10427107	180	*	X08462	112812	10416066	10426691	10626	-	236	upstream	236	FDX2
chr19	10427273	10427392	120	*	X08463	112812	10416066	10426691	10626	-	581	upstream	581	FDX2
chr19	10427483	10427602	120	*	X08464	112812	10416066	10426691	10626	-	791	upstream	791	FDX2
chr19	10662705	10662717	13	*	X08487	100302226	10662798	10662880	83	+	80	upstream	80	MIR1238
chr19	12775402	12775622	221	*	X08611	84292	12777618	12786646	9029	+	1995	upstream	1995	WDR83
chr19	12817337	12817456	120	*	X08622	26810	12817263	12817332	70	-	4	upstream	4	SNORD41
chr19	13054803	13054842	40	*	X08637	5886	13056628	13064457	7830	+	1785	upstream	1785	RAD23A
chr19	13055364	13055453	90	*	X08638	5886	13056628	13064457	7830	+	1174	upstream	1174	RAD23A
chr19	13947826	13948035	210	*	X08668	284454	13945330	13947473	2144	-	352	upstream	352	MIR23AHG
chr19	14065256	14065367	112	*	X08678	79883	14042000	14064204	22205	-	1051	upstream	1051	PODNL1
chr19	14198485	14198589	105	*	X08692	646457	14192444	14196607	4164	-	1877	upstream	1877	C19orf67
chr19	14588135	14588284	150	*	X08711	5731	14583278	14586174	2897	-	1960	upstream	1960	PTGER1
chr19	15492320	15492409	90	*	X08780	10270	15464332	15490612	26281	-	1707	upstream	1707	AKAP8
chr19	16243211	16243217	7	*	X08798	84941	16244838	16269377	24540	+	1620	upstream	1620	HSH2D
chr19	18282483	18282602	120	*	X08892	10437	18284579	18288927	4349	+	1976	upstream	1976	IFI30
chr19	18385219	18385232	14	*	X08900	80726	18367906	18385319	17414	-	0	inside	86	IQCN
chr19	18385656	18385865	210	*	X08901	80726	18367906	18385319	17414	-	336	upstream	336	IQCN
chr19	18391013	18391070	58	*	X08902	100422833	18392887	18392971	85	+	1816	upstream	1816	MIR3188
chr19	18391131	18391220	90	*	X08903	100422833	18392887	18392971	85	+	1666	upstream	1666	MIR3188
chr19	19385678	19385682	5	*	X08972	404037	19366452	19384074	17623	-	1603	upstream	1603	HAPLN4
chr19	19385678	19385682	5	*	X08972	53345	19375174	19384074	8901	-	1603	upstream	1603	TM6SF2
chr19	19756134	19756283	150	*	X09014	51291	19740285	19754455	14171	-	1678	upstream	1678	GMIP
chr19	19756359	19756463	105	*	X09015	51291	19740285	19754455	14171	-	1903	upstream	1903	GMIP
chr19	21933561	21933686	126	*	X09037	641367	21933547	21936240	2694	+	0	inside	13	CCNYL6
chr19	40324912	40324966	55	*	X09290	9149	40315990	40324841	8852	-	70	upstream	70	DYRK1B
chr19	44115820	44115969	150	*	X09417	100170229	44116253	44118650	2398	+	283	upstream	283	SRRM5
chr19	47213776	47213801	26	*	X09554	100422913	47212550	47212602	53	-	1173	upstream	1173	MIR320E
chr19	47213868	47214150	283	*	X09555	100422913	47212550	47212602	53	-	1265	upstream	1265	MIR320E
chr19	48257631	48257732	102	*	X09646	692091	48259110	48259219	110	+	1377	upstream	1377	SNORD23
chr19	48258336	48258485	150	*	X09647	692091	48259110	48259219	110	+	624	upstream	624	SNORD23
chr19	48957569	48957628	60	*	X09659	3770	48958964	48969367	10404	+	1335	upstream	1335	KCNJ14
chr19	48957637	48958041	405	*	X09660	3770	48958964	48969367	10404	+	922	upstream	922	KCNJ14
chr19	48958177	48958281	105	*	X09661	3770	48958964	48969367	10404	+	682	upstream	682	KCNJ14
chr19	48958621	48958755	135	*	X09662	3770	48958964	48969367	10404	+	208	upstream	208	KCNJ14
chr19	49991182	49991276	95	*	X09713	26819	49993223	49993304	82	+	1946	upstream	1946	SNORD32A
chr19	50166316	50166435	120	*	X09746	83596	50168399	50177173	8775	+	1963	upstream	1963	BCL2L12
chr19	50166802	50166914	113	*	X09747	83596	50168399	50177173	8775	+	1484	upstream	1484	BCL2L12
chr19	50183624	50183762	139	*	X09749	100847074	50185328	50185411	84	+	1565	upstream	1565	MIR5088
chr19	50190517	50190600	84	*	X09752	199800	50191942	50194247	2306	+	1341	upstream	1341	ADM5
chr19	50433713	50433982	270	*	X09779	23636	50410084	50432988	22905	-	724	upstream	724	NUP62
chr19	50433713	50433982	270	*	X09779	259307	50390639	50432988	42350	-	724	upstream	724	IL4I1
chr19	50434298	50434402	105	*	X09780	23636	50410084	50432988	22905	-	1309	upstream	1309	NUP62
chr19	50434298	50434402	105	*	X09780	259307	50390639	50432988	42350	-	1309	upstream	1309	IL4I1
chr19	50434298	50434402	105	*	X09780	100616483	50436321	50436394	74	+	1918	upstream	1918	MIR4751
chr19	51302615	51302719	105	*	X09820	692203	51302286	51302382	97	-	232	upstream	232	SNORD88B
chr19	51302615	51302719	105	*	X09820	692202	51302696	51302792	97	-	0	overlapEnd	72	SNORD88A
chr19	51302885	51303004	120	*	X09821	692203	51302286	51302382	97	-	502	upstream	502	SNORD88B
chr19	51302885	51303004	120	*	X09821	692202	51302696	51302792	97	-	92	upstream	92	SNORD88A
chr19	52195817	52195888	72	*	X09827	407056	52195865	52195934	70	+	0	overlapStart	0	MIR99B
chr19	52195817	52195888	72	*	X09827	406887	52196039	52196117	79	+	150	upstream	150	MIRLET7E
chr19	52195817	52195888	72	*	X09827	406910	52196507	52196592	86	+	618	upstream	618	MIR125A
chr19	52195817	52195888	72	*	X09827	147650	52196593	52208443	11851	+	704	upstream	704	SPACA6
chr19	52196647	52196666	20	*	X09828	147650	52196593	52208443	11851	+	0	inside	53	SPACA6
chr19	56185767	56185807	41	*	X09948	29924	56186561	56207133	20573	+	753	upstream	753	EPN1
chr19	58516568	58516672	105	*	X09993	80095	58488441	58514714	26274	-	1853	upstream	1853	ZNF606
chr19	59066916	59066943	28	*	X10015	27243	59062933	59066486	3554	-	429	upstream	429	CHMP2A
chr19	59067013	59067080	68	*	X10016	27243	59062933	59066486	3554	-	526	upstream	526	CHMP2A
chr19	59067575	59067709	135	*	X10017	27243	59062933	59066486	3554	-	1088	upstream	1088	CHMP2A
chr19	59067845	59068039	195	*	X10018	27243	59062933	59066486	3554	-	1358	upstream	1358	CHMP2A
chr19	59068550	59068562	13	*	X10019	100131691	59070553	59086164	15612	+	1990	upstream	1990	MZF1-AS1
chr2	11681203	11681454	252	*	X10084	100616469	11680731	11680803	73	-	399	upstream	399	MIR4429
chr2	27664246	27664350	105	*	X10177	200634	27665233	27669348	4116	+	882	upstream	882	KRTCAP3
chr2	29004263	29004397	135	*	X10188	245711	29005383	29073475	68093	+	985	upstream	985	SPDYA
chr2	43453540	43453577	38	*	X10233	100129726	43454350	43455994	1645	+	772	upstream	772	LINC01126
chr2	43453540	43453577	38	*	X10233	678	43449541	43453745	4205	-	0	inside	167	ZFP36L2
chr2	74732226	74732345	120	*	X10398	85474	74724644	74730443	5800	-	1782	upstream	1782	LBX2
chr2	74753194	74753196	3	*	X10400	165545	74745258	74753408	8151	-	0	inside	211	DQX1
chr2	207647989	207648003	15	*	X10788	100422993	207647958	207648032	75	-	0	inside	28	MIR3130-1
chr2	207647989	207648003	15	*	X10788	100423002	207647958	207648032	75	+	0	inside	30	MIR3130-2
chr2	219266619	219266681	63	*	X10834	407017	219267369	219267445	77	+	687	upstream	687	MIR26B
chr2	219267279	219267368	90	*	X10835	407017	219267369	219267445	77	+	0	upstream	0	MIR26B
chr2	220084860	220084898	39	*	X10854	10058	220074488	220085174	10687	-	0	inside	275	ABCB6
chr2	220084965	220084979	15	*	X10855	10058	220074488	220085174	10687	-	0	inside	194	ABCB6
chr2	220085340	220085352	13	*	X10856	10058	220074488	220085174	10687	-	165	upstream	165	ABCB6
chr2	220085434	220085474	41	*	X10857	10058	220074488	220085174	10687	-	259	upstream	259	ABCB6
chr2	227663922	227664011	90	*	X10894	3667	227596033	227663506	67474	-	415	upstream	415	IRS1
chr2	227664262	227664396	135	*	X10895	3667	227596033	227663506	67474	-	755	upstream	755	IRS1
chr2	242294102	242294206	105	*	X11034	9855	242295664	242434256	138593	+	1457	upstream	1457	FARP2
chr2	242294792	242294821	30	*	X11035	9855	242295664	242434256	138593	+	842	upstream	842	FARP2
chr20	2843762	2843896	135	*	X11082	5786	2844825	3019315	174491	+	928	upstream	928	PTPRA
chr20	3763912	3763987	76	*	X11095	25876	3758151	3762102	3952	-	1809	upstream	1809	SPEF1
chr20	3765718	3765852	135	*	X11098	994	3767578	3786761	19184	+	1725	upstream	1725	CDC25B
chr20	30194331	30194435	105	*	X11191	100422904	30194989	30195043	55	+	553	upstream	553	MIR3193
